,Strength,MSE,Method,A,A0,A1
0,0.125,1.0321042812209353,ols,[-0.09815469  0.02155516],-0.09815469370067566,0.021555157764679114
1,0.25,1.1067985176300952,ols,[-0.60277638 -0.15796298],-0.602776383632631,-0.15796297550081892
2,0.25,1.0353371866300602,ols,[-0.2296808  -0.04124436],-0.2296808020628458,-0.04124435778458034
3,0.375,1.1834495488927579,ols,[ 0.40037938 -0.61636084],0.40037938098972786,-0.6163608449875464
4,0.375,1.0335681301659583,ols,[-0.14385977 -0.07570756],-0.14385976531534295,-0.07570756375808255
5,0.375,1.240720997467622,ols,[ 0.65116871 -0.3898477 ],0.6511687128680539,-0.389847698311358
6,0.5,1.0684862195014944,ols,[-0.36226009  0.04304263],-0.3622600873709106,0.043042631341114586
7,0.5,1.1874986904629874,ols,[-0.51369549  0.40441682],-0.5136954940489962,0.4044168214977722
8,0.5,1.0892633525600879,ols,[-0.31054926  0.21039503],-0.31054925788987264,0.21039503017704983
9,0.5,1.0751133870890426,ols,[-0.54561236 -0.2211412 ],-0.545612355428591,-0.2211412037222754
10,0.625,1.660408215450053,ols,[-0.77455061  1.25878837],-0.7745506135216672,1.258788365619532
11,0.625,1.1668248810718147,ols,[-0.38894145  0.53260297],-0.38894145292107707,0.5326029671293705
12,0.625,1.0611293886915307,ols,[0.64091428 0.52154417],0.640914279094857,0.5215441650541501
13,0.625,1.3074861989867308,ols,[-0.71104457  0.52513704],-0.711044574477536,0.525137038542616
14,0.625,1.2169870199626642,ols,[ 0.45253251 -0.65104575],0.45253250540521295,-0.6510457491002868
15,0.75,1.0665131780610655,ols,[0.66410995 0.53740906],0.6641099486854221,0.5374090598256149
16,0.75,1.2012762747841315,ols,[-0.52202986  0.48121268],-0.5220298570358913,0.48121268107166393
17,0.75,1.1350585725760793,ols,[-0.96472883 -0.56264847],-0.9647288323529144,-0.5626484738045248
18,0.75,1.1728776355429618,ols,[ 0.56358986 -0.28803093],0.5635898630399365,-0.2880309251069083
19,0.75,1.0542817042808046,ols,[ 0.12397787 -0.20389969],0.12397787465997602,-0.20389969042989042
20,0.75,1.0607969836222755,ols,[-0.95706405 -1.02042223],-0.9570640532786283,-1.0204222342634548
21,0.875,1.0511137330104716,ols,[-0.34037982 -0.39620973],-0.3403798189196046,-0.3962097344869886
22,0.875,1.0444704816572117,ols,[ 0.1681727  -0.04053409],0.16817269893424144,-0.04053409158994041
23,0.875,1.0962810808968393,ols,[0.0582002  0.77477245],0.05820019852049288,0.774772453155335
24,0.875,1.0213975029556155,ols,[0.24271817 0.44172808],0.24271817476857915,0.4417280779935223
25,0.875,1.0267377683048962,ols,[-0.42643274 -0.6178186 ],-0.4264327410989249,-0.6178185973047849
26,0.875,1.0549805936268308,ols,[0.5159432  1.00042422],0.5159432035719587,1.0004242164416093
27,0.875,1.2923390714138552,ols,[-0.92267927  0.12613149],-0.9226792656661377,0.12613149237151497
28,1.0,1.0583456787246417,ols,[0.42795383 0.11947945],0.4279538271553659,0.11947944901053514
29,1.0,1.034428725457932,ols,[0.47235987 0.63392788],0.472359865645146,0.6339278777639671
30,1.0,1.1614085708776853,ols,[ 0.32881425 -0.6665955 ],0.3288142506656232,-0.6665955033921739
31,1.0,1.0828767016218048,ols,[0.1780591  0.94603208],0.17805910005405892,0.9460320794515197
32,1.0,1.1085690503598682,ols,[-0.10099658 -1.13265304],-0.1009965810148498,-1.1326530435529536
33,1.0,1.137569824838981,ols,[-0.10082689 -1.16377591],-0.10082689234616832,-1.163775914014429
34,1.0,1.0438663952076659,ols,[0.79488202 1.57224024],0.7948820210023904,1.5722402372877697
35,1.0,2.125603274637151,ols,[-1.37979425  1.10223993],-1.3797942534428451,1.1022399319907452
36,1.125,1.316228097918158,ols,[1.14759014 0.13127953],1.1475901367315737,0.13127952922935046
37,1.125,1.1419516035227866,ols,[ 0.19490202 -0.77114456],0.19490201885258474,-0.771144564991978
38,1.125,1.145883944949004,ols,[0.18031441 1.33867842],0.1803144097265296,1.3386784229247999
39,1.125,4.317270533676008,ols,[-3.29863082  0.48640928],-3.2986308214242754,0.48640927696265734
40,1.125,2.627551098137694,ols,[-1.91419913  0.92796758],-1.9141991294212592,0.9279675804593666
41,1.125,2.148463176584582,ols,[ 1.08569635 -1.62879123],1.0856963511387316,-1.6287912262307154
42,1.125,1.245195462592847,ols,[-0.32436214  0.93266733],-0.3243621411813209,0.9326673318243195
43,1.125,2.7274578868577932,ols,[2.60792968 0.06137259],2.607929677086217,0.06137258618477688
44,1.125,1.19610352867359,ols,[0.34004508 1.8967643 ],0.3400450775328927,1.8967642974074228
45,1.125,1.2292399244898717,ols,[0.00292934 1.45296258],0.002929338991272502,1.452962579649528
46,1.25,1.4501882784984172,ols,[-0.87999138  0.62043761],-0.8799913824971413,0.620437609368092
47,1.25,1.0472248446621188,ols,[0.4917307  1.24993175],0.49173070476588177,1.2499317532648189
48,1.25,1.1660445008928277,ols,[0.33102357 1.71579077],0.33102357379643127,1.7157907706799722
49,1.25,1.4283901405246129,ols,[-0.91746825  0.49989729],-0.917468249476435,0.49989728602734756
50,1.25,1.8394559489126814,ols,[ 1.29811888 -0.76982614],1.2981188821257241,-0.7698261415364894
51,1.25,1.231656681773411,ols,[-0.66602418  0.34632033],-0.6660241826747836,0.34632032503403143
52,1.25,1.1122331015469926,ols,[0.07771177 1.02720547],0.07771176629028798,1.0272054688552816
53,1.25,1.0359624521516235,ols,[-0.13168775 -0.4079465 ],-0.13168775251837983,-0.40794649658641136
54,1.25,1.0979742565470314,ols,[1.41926767 1.45104062],1.41926767029702,1.4510406184982592
55,1.25,4.610388679339221,ols,[ 2.86713171 -1.427097  ],2.8671317116905786,-1.4270970010653925
56,1.25,1.322862419146989,ols,[-0.66818109  0.65876006],-0.6681810925345966,0.6587600595285787
57,1.375,1.3097978182454475,ols,[1.18843941 0.21714173],1.1884394104842904,0.2171417341124388
58,1.375,1.2644601618064282,ols,[-1.48760781 -0.90834312],-1.4876078053647421,-0.9083431217592232
59,1.375,1.120446034979554,ols,[-0.60805755 -1.87082297],-0.6080575454918388,-1.8708229653967212
60,1.375,2.9770169433659315,ols,[3.73968531 1.61384185],3.739685308059298,1.6138418491579525
61,1.375,1.3254396639455392,ols,[0.00621471 1.75996463],0.006214711593748039,1.7599646334268944
62,1.375,1.764936670107702,ols,[-1.88714432 -0.32966844],-1.8871443206940945,-0.32966843877356417
63,1.375,2.068537756164774,ols,[-0.74584747  2.09563474],-0.7458474746841618,2.095634737437497
64,1.375,2.7215522531173435,ols,[3.26204289 1.12277911],3.2620428877722185,1.1227791095181976
65,1.375,2.715165213062645,ols,[-2.08725546  0.76474912],-2.087255462246498,0.7647491211427306
66,1.375,1.9970926365429575,ols,[ 0.91513309 -1.63823747],0.9151330856259754,-1.6382374662088552
67,1.375,1.2229621770610064,ols,[-0.18665726 -1.71298071],-0.18665725710162814,-1.7129807118629368
68,1.375,1.5082241978127264,ols,[-0.51562112  1.37865111],-0.5156211199604196,1.3786511094690894
69,1.5,1.035197472257326,ols,[0.40303047 0.6702922 ],0.4030304670938567,0.6702922037048504
70,1.5,1.7532186196322552,ols,[-2.23161318 -0.90162009],-2.231613184053565,-0.9016200875784561
71,1.5,1.5895689925580152,ols,[-0.91043364  0.9186285 ],-0.9104336365139918,0.9186285004371031
72,1.5,1.2484244990753508,ols,[-0.5439225   0.61816097],-0.5439225036607959,0.6181609667999008
73,1.5,2.591839145603084,ols,[ 2.25306516 -0.33431154],2.2530651577987357,-0.3343115421039823
74,1.5,2.984595093825627,ols,[-1.62726601  1.85290904],-1.627266006449307,1.8529090365639531
75,1.5,1.0346454258213356,ols,[0.22407509 0.17068796],0.22407508582739977,0.17068796241268683
76,1.5,5.755402019259259,ols,[ 3.0047989  -2.13934864],3.004798902615401,-2.1393486357681994
77,1.5,1.48172829275344,ols,[-0.41996765  1.49103864],-0.41996764765186634,1.4910386373627085
78,1.5,3.199222570096535,ols,[-2.64732951  0.4323071 ],-2.647329505631344,0.4323071024902352
79,1.5,1.145440211613864,ols,[-1.04240714 -0.63808603],-1.0424071439024911,-0.6380860295447693
80,1.5,1.537752978347022,ols,[-1.70839783 -0.45127719],-1.708397828497283,-0.451277191275119
81,1.5,1.0504570046059836,ols,[1.08039893 1.25254971],1.0803989327349495,1.2525497094124511
82,1.625,1.4225535475476998,ols,[-1.04701748 -3.7026882 ],-1.047017475100643,-3.702688203815245
83,1.625,1.037188497928365,ols,[-0.66291463 -0.97181721],-0.6629146347035548,-0.9718172142243648
84,1.625,1.139292911914362,ols,[-1.00190966 -0.63922449],-1.0019096618931702,-0.6392244931019594
85,1.625,3.1442815029684374,ols,[ 2.11166348 -1.25265508],2.1116634812653206,-1.25265507971877
86,1.625,3.2920181243550504,ols,[-2.74768514  0.36984688],-2.7476851434729728,0.3698468758214279
87,1.625,3.0399288327028016,ols,[ 2.76224717 -0.08092903],2.762247170251135,-0.08092902739020541
88,1.625,1.6508030488861933,ols,[ 1.1807228  -0.63095237],1.1807227965589335,-0.6309523748053999
89,1.625,1.085690985244911,ols,[0.62267716 0.23515202],0.6226771636113325,0.23515201565141766
90,1.625,1.5329140827119976,ols,[-1.85509224 -0.75384104],-1.8550922400744356,-0.7538410439613221
91,1.625,1.6649462817092286,ols,[ 1.3691299  -0.34181316],1.369129900142313,-0.34181316168362513
92,1.625,1.2810830328226714,ols,[-1.7819578  -1.29235877],-1.7819577998676486,-1.292358766430855
93,1.625,8.614971908593976,ols,[ 3.68398749 -2.88223442],3.68398748575623,-2.882234417527225
94,1.625,1.0666280164113413,ols,[ 0.12843122 -0.37726585],0.1284312214828956,-0.37726585471270124
95,1.625,1.045051634743787,ols,[-0.05563924 -0.45284685],-0.055639241425222724,-0.452846854515952
96,1.75,3.7606805787868027,ols,[-2.56739952  1.15138254],-2.567399516966406,1.1513825387572982
97,1.75,1.0679836444319435,ols,[0.2995992  1.09483651],0.299599203304041,1.0948365064309036
98,1.75,1.4869588811320162,ols,[0.19907855 2.50057518],0.19907855004266914,2.50057517811931
99,1.75,1.3490259467334214,ols,[ 0.51086854 -0.93357756],0.5108685404735602,-0.93357755767616
100,1.75,2.2589850662535174,ols,[ 1.2619759  -1.55343492],1.2619758984904186,-1.553434924002479
101,1.75,1.503691730724163,ols,[ 0.77273245 -0.94492468],0.7727324496028374,-0.9449246758770318
102,1.75,7.389036840902279,ols,[-1.09837482  6.33223214],-1.098374821255019,6.332232135590553
103,1.75,2.3737221547260616,ols,[ 1.77584187 -0.80636582],1.7758418680115196,-0.8063658228479903
104,1.75,1.1073743147946515,ols,[-0.36097988 -1.46138954],-0.36097988437343187,-1.4613895437608773
105,1.75,2.1309764944883853,ols,[-2.02432657  0.07861755],-2.024326570395494,0.07861755262360987
106,1.75,1.3339533564329176,ols,[ 1.009366   -0.14081341],1.0093659996917246,-0.14081340612184962
107,1.75,1.102993007678802,ols,[-1.10131751 -0.97951772],-1.101317508373906,-0.9795177162700277
108,1.75,1.8519653547928898,ols,[1.90344189 0.19080714],1.9034418949077923,0.19080713662857077
109,1.75,1.339470543702903,ols,[ 0.34608924 -1.24643822],0.346089236123315,-1.2464382187473628
110,1.75,1.2802925540589059,ols,[-1.21939747 -0.4086271 ],-1.2193974742958393,-0.4086271045454345
111,1.875,3.5405865828609997,ols,[ 2.41981065 -1.1737053 ],2.4198106518613804,-1.1737053017042598
112,1.875,3.9981947266936406,ols,[-2.66671585  1.18673632],-2.666715845187747,1.1867363156732609
113,1.875,1.6482993637241357,ols,[ 0.08092016 -2.38026678],0.08092016251781751,-2.380266778585224
114,1.875,5.591165394101429,ols,[ 3.31978721 -1.47775999],3.3197872076343313,-1.4777599925247857
115,1.875,3.8644565168805514,ols,[-2.88722831  0.7125146 ],-2.8872283130181353,0.7125146019187583
